sepal_length,sepal_width,petal_length,petal_width,species,new_column
6.4,2.9,4.3,1.3,Iris-versicolor,18.49
6.6,3.0,4.4,1.4,Iris-versicolor,19.360000000000003
6.8,2.8,4.8,1.4,Iris-versicolor,23.04
6.7,3.0,5.0,1.7,Iris-versicolor,25.0
6.0,2.9,4.5,1.5,Iris-versicolor,20.25
5.7,2.6,3.5,1.0,Iris-versicolor,12.25
5.5,2.4,3.8,1.1,Iris-versicolor,14.44
5.5,2.4,3.7,1.0,Iris-versicolor,13.690000000000001
5.8,2.7,3.9,1.2,Iris-versicolor,15.209999999999999
6.0,2.7,5.1,1.6,Iris-versicolor,26.009999999999998
5.4,3.0,4.5,1.5,Iris-versicolor,20.25
6.0,3.4,4.5,1.6,Iris-versicolor,20.25
6.7,3.1,4.7,1.5,Iris-versicolor,22.090000000000003
6.3,2.3,4.4,1.3,Iris-versicolor,19.360000000000003
5.6,3.0,4.1,1.3,Iris-versicolor,16.81
5.5,2.5,4.0,1.3,Iris-versicolor,16.0
5.5,2.6,4.4,1.2,Iris-versicolor,19.360000000000003
6.1,3.0,4.6,1.4,Iris-versicolor,21.159999999999997
5.8,2.6,4.0,1.2,Iris-versicolor,16.0
5.0,2.3,3.3,1.0,Iris-versicolor,10.889999999999999
5.6,2.7,4.2,1.3,Iris-versicolor,17.64
5.7,3.0,4.2,1.2,Iris-versicolor,17.64
5.7,2.9,4.2,1.3,Iris-versicolor,17.64
6.2,2.9,4.3,1.3,Iris-versicolor,18.49
5.1,2.5,3.0,1.1,Iris-versicolor,9.0
5.7,2.8,4.1,1.3,Iris-versicolor,16.81
6.3,3.3,6.0,2.5,Iris-virginica,36.0
5.8,2.7,5.1,1.9,Iris-virginica,26.009999999999998
7.1,3.0,5.9,2.1,Iris-virginica,34.81
6.3,2.9,5.6,1.8,Iris-virginica,31.359999999999996
6.5,3.0,5.8,2.2,Iris-virginica,33.64
7.6,3.0,6.6,2.1,Iris-virginica,43.559999999999995
4.9,2.5,4.5,1.7,Iris-virginica,20.25
7.3,2.9,6.3,1.8,Iris-virginica,39.69
6.7,2.5,5.8,1.8,Iris-virginica,33.64
7.2,3.6,6.1,2.5,Iris-virginica,37.209999999999994
6.5,3.2,5.1,2.0,Iris-virginica,26.009999999999998
6.4,2.7,5.3,1.9,Iris-virginica,28.09
6.8,3.0,5.5,2.1,Iris-virginica,30.25
5.7,2.5,5.0,2.0,Iris-virginica,25.0
5.8,2.8,5.1,2.4,Iris-virginica,26.009999999999998
6.4,3.2,5.3,2.3,Iris-virginica,28.09
6.5,3.0,5.5,1.8,Iris-virginica,30.25
7.7,3.8,6.7,2.2,Iris-virginica,44.89
7.7,2.6,6.9,2.3,Iris-virginica,47.61000000000001
6.0,2.2,5.0,1.5,Iris-virginica,25.0
6.9,3.2,5.7,2.3,Iris-virginica,32.49
5.6,2.8,4.9,2.0,Iris-virginica,24.010000000000005
7.7,2.8,6.7,2.0,Iris-virginica,44.89
6.3,2.7,4.9,1.8,Iris-virginica,24.010000000000005
6.7,3.3,5.7,2.1,Iris-virginica,32.49
7.2,3.2,6.0,1.8,Iris-virginica,36.0
6.2,2.8,4.8,1.8,Iris-virginica,23.04
6.1,3.0,4.9,1.8,Iris-virginica,24.010000000000005
6.4,2.8,5.6,2.1,Iris-virginica,31.359999999999996
7.2,3.0,5.8,1.6,Iris-virginica,33.64
7.4,2.8,6.1,1.9,Iris-virginica,37.209999999999994
7.9,3.8,6.4,2.0,Iris-virginica,40.96000000000001
6.4,2.8,5.6,2.2,Iris-virginica,31.359999999999996
6.3,2.8,5.1,1.5,Iris-virginica,26.009999999999998
6.1,2.6,5.6,1.4,Iris-virginica,31.359999999999996
7.7,3.0,6.1,2.3,Iris-virginica,37.209999999999994
6.3,3.4,5.6,2.4,Iris-virginica,31.359999999999996
6.4,3.1,5.5,1.8,Iris-virginica,30.25
6.0,3.0,4.8,1.8,Iris-virginica,23.04
6.9,3.1,5.4,2.1,Iris-virginica,29.160000000000004
6.7,3.1,5.6,2.4,Iris-virginica,31.359999999999996
6.9,3.1,5.1,2.3,Iris-virginica,26.009999999999998
5.8,2.7,5.1,1.9,Iris-virginica,26.009999999999998
6.8,3.2,5.9,2.3,Iris-virginica,34.81
6.7,3.3,5.7,2.5,Iris-virginica,32.49
6.7,3.0,5.2,2.3,Iris-virginica,27.040000000000003
6.3,2.5,5.0,1.9,Iris-virginica,25.0
6.5,3.0,5.2,2.0,Iris-virginica,27.040000000000003
6.2,3.4,5.4,2.3,Iris-virginica,29.160000000000004
5.9,3.0,5.1,1.8,Iris-virginica,26.009999999999998
